,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,aswan,24.09,32.91,91.74,18.0,0.0,11.97,EG,1595714855.0
1,puerto ayora,-0.74,-90.35,68.0,94.0,86.0,5.01,EC,1595714855.0
2,rikitea,-23.12,-134.97,70.07,80.0,18.0,22.62,PF,1595714855.0
3,petropavlovsk-kamchatskiy,53.05,158.65,59.0,82.0,100.0,6.71,RU,1595714856.0
4,bambous virieux,-20.34,57.76,69.01,56.0,75.0,14.99,MU,1595714856.0
5,timra,62.49,17.33,55.0,100.0,82.0,2.24,SE,1595714856.0
6,cape town,-33.93,18.42,61.0,82.0,75.0,5.82,ZA,1595714856.0
7,kapit,2.02,112.93,73.04,95.0,100.0,0.43,MY,1595714856.0
8,georgetown,5.41,100.34,77.0,100.0,20.0,5.82,MY,1595714856.0
9,savelugu,9.62,-0.83,76.53,86.0,78.0,6.04,GH,1595714857.0
10,lompoc,34.64,-120.46,71.01,64.0,7.0,13.87,US,1595714857.0
11,port alfred,-33.59,26.89,68.22,35.0,0.0,15.48,ZA,1595714857.0
12,mitsamiouli,-11.38,43.28,77.0,62.0,44.0,11.01,KM,1595714857.0
13,honiara,-9.43,159.95,75.2,94.0,90.0,6.93,SB,1595714455.0
14,kapaa,22.08,-159.32,84.0,94.0,90.0,11.41,US,1595714681.0
15,manokwari,-0.87,134.08,79.59,76.0,100.0,4.27,ID,1595714858.0
16,hermanus,-34.42,19.23,59.0,88.0,35.0,7.0,ZA,1595714858.0
17,tessalit,20.2,1.01,86.27,45.0,96.0,2.33,ML,1595714858.0
18,verkhnevilyuysk,63.45,120.32,60.3,70.0,0.0,10.98,RU,1595714858.0
19,pevek,69.7,170.31,45.66,94.0,35.0,4.03,RU,1595714859.0
20,sioux lookout,50.1,-91.92,82.4,69.0,40.0,8.05,CA,1595714859.0
21,tiksi,71.69,128.87,39.58,96.0,100.0,19.71,RU,1595714859.0
22,mar del plata,-38.0,-57.56,48.99,75.0,81.0,9.17,AR,1595714642.0
23,padang,-0.95,100.35,76.69,79.0,98.0,4.27,ID,1595714859.0
24,okha,53.57,142.95,54.39,73.0,0.0,5.99,RU,1595714860.0
25,busselton,-33.65,115.33,46.99,85.0,2.0,6.51,AU,1595714806.0
26,east london,-33.02,27.91,71.26,29.0,0.0,11.3,ZA,1595714860.0
27,mataura,-46.19,168.86,44.85,89.0,100.0,3.44,NZ,1595714860.0
28,hobart,-42.88,147.33,39.2,80.0,1.0,4.7,AU,1595714739.0
29,narsaq,60.92,-46.05,48.2,87.0,100.0,8.05,GL,1595714860.0
30,atuona,-9.8,-139.03,79.3,78.0,1.0,18.79,PF,1595714861.0
31,yellowknife,62.46,-114.35,69.8,43.0,40.0,9.17,CA,1595714861.0
32,olafsvik,64.89,-23.71,48.22,76.0,97.0,29.93,IS,1595714861.0
33,klaksvik,62.23,-6.59,53.6,81.0,100.0,26.4,FO,1595714861.0
34,upernavik,72.79,-56.15,44.62,91.0,100.0,19.13,GL,1595714861.0
35,tura,25.52,90.22,75.58,87.0,100.0,2.93,IN,1595714862.0
36,vaini,-21.2,-175.2,73.4,78.0,75.0,9.17,TO,1595714862.0
37,huntington,38.42,-82.45,96.01,41.0,20.0,5.82,US,1595714862.0
38,alihe,50.57,123.72,68.56,84.0,4.0,0.94,CN,1595714862.0
39,clyde river,70.47,-68.59,55.4,62.0,1.0,18.34,CA,1595714862.0
40,aykhal,66.0,111.5,44.6,100.0,90.0,11.18,RU,1595714862.0
41,qaanaaq,77.48,-69.36,45.93,56.0,0.0,2.44,GL,1595714863.0
42,cockburn town,21.46,-71.14,86.0,74.0,40.0,17.22,TC,1595714863.0
43,amahai,-3.33,128.92,76.82,85.0,96.0,6.26,ID,1595714863.0
44,viedma,-40.81,-63.0,53.01,51.0,100.0,15.99,AR,1595714595.0
45,thompson,55.74,-97.86,80.6,44.0,40.0,5.82,CA,1595714635.0
46,arraial do cabo,-22.97,-42.03,75.2,69.0,0.0,11.41,BR,1595714747.0
47,billings,45.78,-108.5,86.0,23.0,20.0,11.41,US,1595714864.0
48,puerto baquerizo moreno,-0.9,-89.6,71.6,78.0,75.0,17.22,EC,1595714864.0
49,abu samrah,35.3,37.18,71.89,61.0,0.0,7.07,SY,1595714864.0
50,bredasdorp,-34.53,20.04,60.8,72.0,2.0,10.29,ZA,1595714864.0
51,butaritari,3.07,172.79,83.28,75.0,38.0,14.9,KI,1595714864.0
52,khatanga,71.97,102.5,40.84,77.0,100.0,12.82,RU,1595714864.0
53,yuli,9.7,10.27,74.53,91.0,79.0,4.14,NG,1595714865.0
54,sorland,67.67,12.69,53.51,90.0,89.0,13.0,NO,1595714865.0
55,dikson,73.51,80.55,39.29,91.0,3.0,15.21,RU,1595714865.0
56,groningen,53.25,6.75,64.99,93.0,75.0,6.93,NL,1595714849.0
57,baruun-urt,46.68,113.28,63.86,88.0,100.0,8.72,MN,1595714866.0
58,vila velha,-20.33,-40.29,77.0,83.0,20.0,6.93,BR,1595714866.0
59,barrow,71.29,-156.79,37.4,86.0,75.0,4.7,US,1595714657.0
60,hasaki,35.73,140.83,77.0,94.0,75.0,3.36,JP,1595714866.0
61,ushuaia,-54.8,-68.3,30.2,92.0,40.0,13.87,AR,1595714840.0
62,katsuura,35.13,140.3,77.0,95.0,100.0,4.0,JP,1595714867.0
63,lebu,-37.62,-73.65,51.28,91.0,100.0,21.79,CL,1595714867.0
64,rujiena,57.9,25.33,49.46,94.0,40.0,3.09,LV,1595714867.0
65,comodoro rivadavia,-45.87,-67.5,46.4,70.0,40.0,13.87,AR,1595714579.0
66,chokurdakh,70.63,147.92,78.33,39.0,96.0,7.87,RU,1595714867.0
67,san cristobal,7.77,-72.22,87.8,55.0,40.0,9.17,VE,1595714645.0
68,werneck,49.98,10.1,64.99,72.0,100.0,6.93,DE,1595714867.0
69,cherskiy,68.75,161.3,80.71,43.0,0.0,10.38,RU,1595714868.0
70,sao filipe,14.9,-24.5,79.02,85.0,75.0,5.55,CV,1595714868.0
71,oytal,42.91,73.27,74.25,39.0,0.0,1.86,KZ,1595714868.0
72,severo-kurilsk,50.68,156.12,52.27,81.0,100.0,11.39,RU,1595714868.0
73,kavieng,-2.57,150.8,82.65,79.0,99.0,14.54,PG,1595714868.0
74,ponta do sol,32.67,-17.1,69.01,70.0,1.0,6.2,PT,1595714869.0
75,guerrero negro,27.98,-114.06,76.28,55.0,2.0,18.05,MX,1595714869.0
76,bluff,-46.6,168.33,50.38,81.0,100.0,19.51,NZ,1595714869.0
77,sorong,-0.88,131.25,77.72,90.0,100.0,9.95,ID,1595714707.0
78,saldanha,-33.01,17.94,55.4,82.0,14.0,1.12,ZA,1595714869.0
79,grand gaube,-20.01,57.66,69.01,60.0,77.0,8.99,MU,1595714870.0
80,sur,22.57,59.53,87.98,59.0,90.0,9.6,OM,1595714870.0
81,avarua,-21.21,-159.78,73.4,69.0,94.0,8.05,CK,1595714870.0
82,ribeira grande,38.52,-28.7,71.94,87.0,13.0,11.3,PT,1595714870.0
83,broken hill,-31.95,141.43,41.0,93.0,0.0,5.82,AU,1595714871.0
84,along,28.17,94.77,73.63,89.0,96.0,1.16,IN,1595714871.0
85,amga,60.9,131.96,66.18,93.0,100.0,2.39,RU,1595714871.0
86,awbari,26.59,12.78,82.38,19.0,0.0,6.62,LY,1595714871.0
87,victoria,22.29,114.16,84.99,83.0,100.0,11.01,HK,1595714855.0
88,northam,51.03,-4.22,60.01,92.0,79.0,8.99,GB,1595714872.0
89,buala,-8.14,159.59,82.67,78.0,90.0,10.71,SB,1595714872.0
90,poya,-21.35,165.15,74.23,68.0,1.0,5.91,NC,1595714872.0
91,mirnyy,62.54,113.96,51.8,100.0,20.0,11.18,RU,1595714872.0
92,mecca,21.43,39.83,93.79,31.0,89.0,5.75,SA,1595714872.0
93,pacific grove,36.62,-121.92,73.0,64.0,1.0,12.75,US,1595714802.0
94,salalah,17.02,54.09,78.8,88.0,75.0,8.05,OM,1595714873.0
95,nikolskoye,59.7,30.79,59.0,87.0,40.0,2.82,RU,1595714873.0
96,ascension,30.22,-90.9,82.4,74.0,85.0,8.05,US,1595714873.0
97,markivka,49.52,39.57,62.42,67.0,0.0,8.93,UA,1595714873.0
98,mayna,54.11,47.62,52.57,93.0,1.0,5.06,RU,1595714874.0
99,havoysund,71.0,24.66,64.4,52.0,3.0,25.28,NO,1595714874.0
100,punta arenas,-53.15,-70.92,30.2,68.0,25.0,10.29,CL,1595714874.0
101,makakilo city,21.35,-158.09,87.8,48.0,40.0,6.93,US,1595714841.0
102,jamestown,42.1,-79.24,79.0,69.0,20.0,9.17,US,1595714664.0
103,hilo,19.73,-155.09,84.2,66.0,75.0,10.29,US,1595714875.0
104,namibe,-15.2,12.15,69.6,78.0,95.0,5.95,AO,1595714875.0
105,tyukalinsk,55.87,72.2,52.72,93.0,0.0,5.46,RU,1595714875.0
106,hambantota,6.12,81.12,77.0,100.0,40.0,3.36,LK,1595714875.0
107,naze,28.37,129.48,82.4,88.0,75.0,9.17,JP,1595714876.0
108,santa ana,33.75,-117.87,86.0,60.0,20.0,10.29,US,1595714876.0
109,dunedin,-45.87,170.5,46.38,72.0,69.0,7.23,NZ,1595714876.0
110,albany,42.6,-73.97,90.0,39.0,100.0,3.94,US,1595714721.0
111,grindavik,63.84,-22.43,48.2,81.0,75.0,23.04,IS,1595714876.0
112,kundiawa,-6.02,144.97,64.56,76.0,86.0,1.21,PG,1595714877.0
113,pangnirtung,66.15,-65.71,54.82,64.0,59.0,4.59,CA,1595714877.0
114,yaring,6.87,101.37,78.21,84.0,89.0,3.94,TH,1595714877.0
115,kinkala,-4.36,14.76,73.4,78.0,20.0,5.82,CG,1595714877.0
116,ostersund,63.18,14.64,51.8,76.0,83.0,5.82,SE,1595714645.0
117,khani,41.96,42.96,73.4,94.0,96.0,14.99,GE,1595714877.0
118,nanortalik,60.14,-45.24,44.58,83.0,100.0,4.56,GL,1595714878.0
119,satana,20.58,74.2,75.04,86.0,80.0,3.29,IN,1595714878.0
120,hithadhoo,-0.6,73.08,81.66,73.0,100.0,6.98,MV,1595714878.0
121,beringovskiy,63.05,179.32,62.55,60.0,72.0,5.61,RU,1595714878.0
122,vao,-22.67,167.48,70.77,82.0,15.0,21.94,NC,1595714879.0
123,visby,57.64,18.3,57.2,82.0,61.0,8.05,SE,1595714879.0
124,ukiah,39.15,-123.21,96.8,23.0,1.0,12.75,US,1595714238.0
125,adre,13.47,22.2,75.52,67.0,56.0,17.98,TD,1595714879.0
126,kaeo,-35.1,173.78,51.01,3.0,16.0,3.94,NZ,1595714879.0
